"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"723780","67","73","Gameloft","20","20","Modern Combat Versus","691","359651","18994","118572","10909","251310","15879","566","0","Gameloft","6","45"
"438520","0","0","","0","0","GameLoading: Frank Lantz - Part 2 - Games Can Be More","0","1576","1542","0","0","0","0","0","","","","0"
"272350","2173","1300","Ubisoft Singapore","3238","213","Tom Clancy's Ghost Recon Phantoms - EU","5505","4141103","64207","2623","1622","2435187","49322","13492","0","Ubisoft","30","71"
"299950","124","285","The Farm 51","164","162","GET EVEN","81","19675","4444","1970","1724","13903","3735","340","2999","BANDAI NAMCO Entertainment","46","77"
"503100","0","46","Team Future LLC","0","81","Black Hat Cooperative","14","3935","1987","0","0","2623","1622","29","999","Team Future LLC","24","62"
"655610","0","35","Yash Future Tech Solutions Pvt Ltd","0","35","Horse Racing 2016","0","791","1550","0","0","791","1550","0","299","Yash Future Tech Solutions Pvt Ltd","","0"
"465490","21","692","Maverick Games","29","551","Stellar Tactics","44","14428","3805","1577","1543","13641","3700","266","1999","Maverick Games","59","85"
"421610","0","335","Arc System Works","0","272","XBlaze Code: Embryo","7","3148","1777","0","0","1971","1725","37","1999","Aksys Games","56","82"
"391950","0","3809","Audials AG","0","3809","Audials Tunebite 12","1","791","1550","0","0","791","1550","3","2499","TopWare Interactive AG","","0"
"429830","52","54","Triangular Pixels","52","16","Unseen Diplomacy","16","16002","4008","791","1550","11542","3404","125","299","Triangular Pixels","67","88"
"681780","0","0","Berdochan","0","0","Distorted Reality","22","2886","1702","0","0","0","0","9","499","Berdochan","1","47"
"2320","58","234","id Software","31","43","QUAKE II","75","399787","20025","4984","2236","179432","13419","1059","499","id Software","86","93"
"256010","0","674","Full Control","0","189","Jagged Alliance Flashback","355","32266","5691","0","0","27807","5283","313","1999","Full Control, THQ Nordic","7","33"
"12110","157","472","Rockstar Games","20","71","Grand Theft Auto: Vice City","630","1960374","44274","30692","5550","993172","31544","7306","999","Rockstar Games","82","91"
"435800","0","324","Ant Workshop Ltd","0","197","Binaries","4","7608","2763","0","0","4984","2236","51","999","Ant Workshop Ltd","82","90"
"292350","0","22","GTGD","0","9","GTGD S2: Just One Dev","3","11018","3325","0","0","3673","1920","23","99","GTGD","67","88"
"340460","0","94","YFC games","0","31","Spartans Vs Zombies Defense","403","182580","13536","0","0","71615","8478","323","0","YFC games","6","44"
"36900","0","10","3000AD","0","10","Angle of Attack","2","1049","1026","0","0","785","1086","0","999","3000AD","","0"
"462910","6","22","Lucid Sight, Inc.","7","4","Poly Runner VR","12","62959","7949","1568","2172","22036","4703","45","0","Lucid Sight, Inc.","42","78"
"34630","0","1470","Wargaming.net","0","2922","Massive Assault","2","2759","2041","0","0","1577","1543","7","999","Matrix Games/GMX Media","40","77"
"449320","0","1591","David H Schroeder, Eric Ferrot","0","1591","Dino Eggs: Rebirth","5","3673","1920","0","0","785","1538","12","999","David H Schroeder","28","75"
"444240","0","437","Mighty Toast","0","437","Tankr","5","791","1550","0","0","791","1550","5","1199","Mighty Toast","9","50"
"467170","0","0","slimefriend","0","0","Subterrarium","0","787","888","0","0","0","0","5","499","slimefriend","100","100"
"366670","0","179","Totem Studio","0","216","The Travels of Marco Polo","7","11805","3442","0","0","5509","2351","17","699","Plug In Digital","28","60"
"377360","21","147","Bandit-1","21","90","Western Press","58","94176","9722","784","1536","27807","5283","104","249","Surprise Attack ","21","84"
